question_id,assunto,card_key,link_type,precision,reason
1611239,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
840156,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
936377,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1028276,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1572193,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),ctb_sinalizacao_ordem_prevalencia,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1573559,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1573561,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1743707,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),contran_973_sinais_sonoros_gestos,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
2450588,Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),subject_overview::da-sinalizacao-de-transito-arts-80-a-90-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
27898,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
27969,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
27984,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28037,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_medidas_retencao_remocao_recolhimento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
28052,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_pontuacao_infracoes,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
28060,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28061,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28062,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28067,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_estacionamento_parada,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
28100,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28105,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28166,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
304046,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
590555,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_cinto_celular,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
778160,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
778164,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_estacionamento_parada,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
778165,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
778167,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_licenciamento_crlv_digital,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
931278,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
933737,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_velocidade,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1144059,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1144068,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_pontuacao_infracoes,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1402630,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_documentos_licenciamento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1402637,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_documentos_licenciamento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1403542,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_medidas_retencao_remocao_recolhimento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1490471,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_alcool_recusa,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1492683,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_documentos_licenciamento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1492688,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492697,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_alcool_recusa,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1492790,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492804,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492815,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_pontuacao_infracoes,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1492836,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492839,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492845,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1492849,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521281,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521282,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521283,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521285,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521290,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521291,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521294,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1521295,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525663,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525665,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525667,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525670,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525673,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1525690,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1574050,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_cinto_celular,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1574051,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1576568,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1577058,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1602595,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1611236,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_pontuacao_infracoes,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1611246,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_infracoes_velocidade,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1865795,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),ctb_pontuacao_infracoes,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
2018313,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
2465573,Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),subject_overview::das-infracoes-arts-161-a-255-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
434577,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
778172,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
820236,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),ctb_penalidades_medidas,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1402658,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),ctb_medidas_retencao_remocao_recolhimento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1403077,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1403531,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,fallback_by_assunto,"Sem evidência suficiente para microcard específico. Exibir apenas como panorama do assunto, nunca como regra que resolve a questão."
1403540,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),ctb_penalidades_medidas,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1576559,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1576561,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),ctb_medidas_retencao_remocao_recolhimento,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1576562,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1576567,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),ctb_penalidades_medidas,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1577047,Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),subject_overview::das-medidas-administrativas-arts-269-a-279-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
